Country ID,Country Name,State ID,State Name
1,India,2,Karnataka
1,India,3,Andhra Pradesh
1,India,98,Gujarath
1,India,124,Odhisa
1,India,126,Tamilnadu
1,India,140,Chhattisgarh
1,India,144,Kerala
1,India,158,Andaman And Nicobar Islands
1,India,159,Arunachal Pradesh
1,India,160,Assam
1,India,161,Bihar
1,India,162,Chandigarh
1,India,163,Dadra And Nagar Haveli
1,India,164,Daman And Diu
1,India,165,Delhi NCR
1,India,166,Goa
1,India,167,Gujarat
1,India,168,Haryana
1,India,169,Himachal Pradesh
1,India,170,Jammu And Kashmir
1,India,171,Jharkhand
1,India,172,Lakshadweep
1,India,173,Madhya Pradesh
1,India,174,Maharashtra
1,India,175,Manipur
1,India,176,Meghalaya
1,India,177,Mizoram
1,India,178,Nagaland
1,India,179,Odisha
1,India,180,Puducherry
1,India,181,Punjab
1,India,182,Rajasthan
1,India,183,Sikkim
1,India,184,Tamil Nadu
1,India,185,Telangana
1,India,186,Tripura
1,India,187,Uttar Pradesh
1,India,188,Uttarakhand
1,India,189,West Bengal
1,India,360,Test State One
1,India,368,Karnataka States
1,India,377,HO
1,India,378,Karnataka
1,India,384,Andhra Pradesh
1,India,400,Delhi
1,India,430,California
