527,VARANASI ,BADAGAON ,180,Barahikala,4507
526,VARANASI ,BADAGAON ,180,Dallipur,4509
603,Chandel ,Khengjoi,197,Aimol Tampak Constituency ,4508
529,VARANASI ,PINDRA ,181,Ghonghali,4486
531,VARANASI ,PINDRA ,181,Jagdish Pur,4487
528,VARANASI ,PINDRA ,181,Nehiya,4488
533,VARANASI ,PINDRA ,181,Puarikala,4489
532,VARANASI ,PINDRA ,181,Purataghunathpur,4490
530,VARANASI ,PINDRA ,181,Thane Rampur ,4491
21,Raigarh,Dharamjaigarh,97,Koma,4492
194,Salem,Ayothipattinam,129,Koottathupatty,4493
196,Salem,Vazhapadi,130,Kolathu Kombai,4494
201,Salem,Vazhapadi,130,M Perumalpalayam,4495
435,Bhopal,Berasia,168,Jhikiriya,4496
448,Rewa,Jawa,169,Madri,4497
524,VARANASI ,HARAHUA,179,Aoura,4498
541,Mahoba,Charkhari,183,Gorkha,4499
540,Mahoba,Charkhari,183,Lohari,4500
577,Sonebhadra,Robertsganj,187,Judouli,4501
602,Chandel ,Machi,193,Kangoi Constituency,4502
605,Chandel ,Chandel,195,11 Monshangpantha,4503
628,Godda,Sundarpahari,206,Tilabad,4504
680,KALAHANDI,GOLAMUNDA,223,Khaliapali,4505
681,KALAHANDI,GOLAMUNDA,223,Sinapali,4506
