ID,Code,,,,,,,,,,,,,
1944," {""8"":""শ্রেণী ১০""}",,,,,,,,,,,,,
2015," {""8"":""শ্রেণী ১""}",,,,,,,,,,,,,
2016," {""8"":""শ্রেণী ১২""}",,,,,,,,,,,,,
69," {""8"":""প্ৰাইভেট ইউনাইদেদ- প্ৰাইভেট বা ট্ৰাষ্টৰ দ্বাৰা পূৰ্ণৰুপে পৰিচালিত""}",,,,,,,,,,,,,চৰকাৰী / স্থানীয় সংস্থা
70," {""8"":""( প্ৰাইভেট এডেদ - প্ৰাইভেট বা ট্ৰাষ্টৰ দ্বাৰা পৰিচালিত কিন্তু চৰকাৰৰ সাহায্য প্ৰাপ্ত""}",,,,,,,,,,,,,
75," {""8"":""নহয়""}",,,,,,,,,,,,,
74," {""8"":""হয় ""}",,,,,,,,,,,,,
1534," {""8"":""নহয়""}",,,,,,,,,,,,,
1533," {""8"":""হয় ""}",,,,,,,,,,,,,
1949," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1857," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1536," {""8"":""নহয়""}",,,,,,,,,,,,,
1535," {""8"":""হয় ""}",,,,,,,,,,,,,
1950," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1849," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1538," {""8"":""নহয়""}",,,,,,,,,,,,,
1537," {""8"":""হয় ""}",,,,,,,,,,,,,
1951," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1850," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1540," {""8"":""নহয়""}",,,,,,,,,,,,,
1539," {""8"":""হয় ""}",,,,,,,,,,,,,
1952," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1853," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
77," {""8"":""নহয়""}",,,,,,,,,,,,,
76," {""8"":""হয় ""}",,,,,,,,,,,,,
1953," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1954," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1955," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1956," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
86," {""8"":""নহয়""}",,,,,,,,,,,,,
85," {""8"":""হয় ""}",,,,,,,,,,,,,
1957," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1858," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
88," {""8"":""নহয়""}",,,,,,,,,,,,,
87," {""8"":""হয় ""}",,,,,,,,,,,,,
1960," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1859," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
90," {""8"":""নহয়""}",,,,,,,,,,,,,
89," {""8"":""হয় ""}",,,,,,,,,,,,,
1964," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1862," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1967," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1968," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
94," {""8"":""নহয়""}",,,,,,,,,,,,,
93," {""8"":""হয় ""}",,,,,,,,,,,,,
1971," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1973," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
96," {""8"":""নহয়""}",,,,,,,,,,,,,
95," {""8"":""হয় ""}",,,,,,,,,,,,,
1974," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1975," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
98," {""8"":""নহয়""}",,,,,,,,,,,,,
1977," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1981," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1982," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1985," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
104," {""8"":""নহয়""}",,,,,,,,,,,,,
103," {""8"":""হয় ""}",,,,,,,,,,,,,
1987," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1546," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
106," {""8"":""নহয়""}",,,,,,,,,,,,,
