
Question,Question Id,Question Type,choice Id,Choice
Primary barriers for accessing AWC,375,Select One Choice,802,In or near to market
Primary barriers for accessing AWC,375,Select One Choice,803,Across the forest or  hill
Primary barriers for accessing AWC,375,Select One Choice,804,Across the stream or river
Primary barriers for accessing AWC,375,Select One Choice,805,Near the graveyard
Primary barriers for accessing AWC,375,Select One Choice,806,AWC in open
Primary barriers for accessing AWC,375,Select One Choice,807,Across the Railway track
Primary barriers for accessing AWC,375,Select One Choice,808,Near Bar and Restaurant
Primary barriers for accessing AWC,375,Select One Choice,809,Near Religious Structure
Primary barriers for accessing AWC,375,Select One Choice,810,Others

Need for additional AWC,377,Radio List,812,No
Need for additional AWC,377,Radio List,813,Yes

SHC available,378,Radio List,814,No
SHC available,378,Radio List,815,Yes

Primary barrier in accessing SHC,381,Select One Choice,819,No barrier
Primary barrier in accessing SHC,381,Select One Choice,820,Near upper class hamlet
Primary barrier in accessing SHC,381,Select One Choice,821,Far off from some of the catchment villages
Primary barrier in accessing SHC,381,Select One Choice,822,On the main road
Primary barrier in accessing SHC,381,Select One Choice,823,Across the road or  traffic
Primary barrier in accessing SHC,381,Select One Choice,824,In or near to market
Primary barrier in accessing SHC,381,Select One Choice,825,Across the forest or hill
Primary barrier in accessing SHC,381,Select One Choice,826,Across the stream or river
Primary barrier in accessing SHC,381,Select One Choice,827,Near the graveyard
Primary barrier in accessing SHC,381,Select One Choice,828,Others
Primary barrier in accessing SHC,381,Select One Choice,818,Not Applicable Write

PHC available,383,Radio List,830,NO
PHC available,383,Radio List,831,YES

Primary barrier in accessing PHC,386,Select One Choice,835,No barrier
Primary barrier in accessing PHC,386,Select One Choice,836,Near upper class hamlet
Primary barrier in accessing PHC,386,Select One Choice,837,Far off from some of the catchment villages
Primary barrier in accessing PHC,386,Select One Choice,838,On the main road
Primary barrier in accessing PHC,386,Select One Choice,839,Across the road or traffic
Primary barrier in accessing PHC,386,Select One Choice,840,In or  near to market
Primary barrier in accessing PHC,386,Select One Choice,841,Across the forest or hill
Primary barrier in accessing PHC,386,Select One Choice,842,Across the stream or river
Primary barrier in accessing PHC,386,Select One Choice,843,Near the graveyard
Primary barrier in accessing PHC,386,Select One Choice,844,Others
Primary barrier in accessing PHC,386,Select One Choice,834,Not Applicable Write

CHC available,388,Radio List,846,NO
CHC available,388,Radio List,847,YES

Primary barrier in accessing CHC,391,Select One Choice,851,No barrier
Primary barrier in accessing CHC,391,Select One Choice,852,Near upper class hamlet
Primary barrier in accessing CHC,391,Select One Choice,853,Far off from some of the catchment villages
Primary barrier in accessing CHC,391,Select One Choice,854,On the main road
Primary barrier in accessing CHC,391,Select One Choice,855,Across the road or traffic
Primary barrier in accessing CHC,391,Select One Choice,856,In or near to market
Primary barrier in accessing CHC,391,Select One Choice,857,Across the forest or hill
Primary barrier in accessing CHC,391,Select One Choice,858,Across the stream or river
Primary barrier in accessing CHC,391,Select One Choice,859,Near the graveyard
Primary barrier in accessing CHC,391,Select One Choice,860,Others
Primary barrier in accessing CHC,391,Select One Choice,850,Not Applicable Write

ASHA available,393,Radio List,862,NO
ASHA available,393,Radio List,863,Yes

VHSNC existing,394,Radio List,864,No
VHSNC existing,394,Radio List,865,Yes

VHSNC operational,395,Select One Choice,866,No
