LocationID,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403
2072,1043,1041,1,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,797,99,812,814,99,0,818,99,830,99,0,834,99,846,99,0,850,99,863,865,866,870,871,4,1,877,879,881,883
2067,1043,1041,8,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,797,99,812,814,99,0,818,99,830,99,0,834,99,846,99,0,850,99,863,865,866,870,871,4,1,877,879,880,883
2068,1043,1041,9,1044,2212,1052,0,701,99,718,15,1054,725,726,0,729,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,797,99,813,814,99,0,818,99,830,99,0,834,99,846,99,0,850,99,863,865,866,870,871,4,1,877,879,880,883
2079,1043,1041,10,1044,2212,1052,0,701,99,718,16,1054,725,726,0,729,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,794,99,2251,99,813,814,99,0,818,99,830,99,0,834,99,846,99,0,850,99,863,865,866,870,871,4,1,876,879,880,883
2377,1043,715,99,2206,2215,2183,99,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,794,99,2251,99,813,814,99,5,821,99,830,99,99,834,99,846,99,99,850,99,862,864,866,869,871,0,1,877,879,880,883
2378,1043,715,99,2206,2215,2183,99,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,794,99,2251,99,813,814,99,5,821,99,830,99,99,834,99,846,99,99,850,99,862,864,866,869,871,0,1,877,879,880,883
2379,1043,715,99,2206,2215,2183,99,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,794,99,2251,99,813,814,99,5,821,99,830,99,99,834,99,846,99,99,850,99,862,864,866,869,871,0,1,877,879,880,883
1926,1043,1041,1,1044,2212,1052,0,701,99,718,31,1054,725,726,0,729,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,798,99,812,815,1,0,819,99,830,99,99,834,99,846,99,0,851,99,863,865,867,869,871,1,0,877,879,880,883
1927,1043,1041,2,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,812,814,99,99,818,99,830,99,99,834,99,846,99,0,851,99,862,864,866,869,871,0,0,877,878,880,882
1928,1043,1041,3,1044,2212,1052,0,701,99,718,32,1054,725,726,0,729,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,813,814,99,99,818,99,830,99,99,834,99,846,99,0,851,99,863,865,867,869,871,1,0,877,879,880,882
1929,1043,1041,4,1044,2212,1052,0,701,99,718,33,1054,725,726,0,729,99,745,47,747,750,751,0,754,99,770,51,772,775,776,0,779,99,795,0,797,99,813,815,2,0,819,99,830,99,99,834,99,846,99,0,851,99,863,865,867,869,871,1,0,877,879,880,882
1930,1043,1041,5,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,812,815,3,0,819,99,830,99,99,834,99,847,19,0,851,99,863,865,867,869,871,1,0,877,879,881,882
1931,1043,1041,6,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,770,52,772,775,776,0,779,99,795,0,797,99,812,815,4,1,820,99,830,99,99,834,99,846,99,0,851,99,863,864,866,869,871,0,0,877,879,880,882
1932,1043,1041,7,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,812,815,5,0,819,99,830,99,99,834,99,846,99,0,851,99,863,864,866,869,871,0,0,877,879,880,882
1933,1043,1041,8,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,812,814,99,99,818,99,830,99,99,834,99,846,99,0,851,99,862,864,866,869,871,0,0,877,879,880,882
1934,1043,1041,9,1044,2212,1052,0,701,99,718,34,1054,725,726,0,729,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,812,814,99,99,818,99,830,99,99,834,99,846,99,0,851,99,863,864,866,869,871,0,0,877,879,880,882
1935,1043,1041,10,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,812,814,99,99,818,99,830,99,99,834,99,846,99,0,851,99,863,864,866,869,871,0,0,877,879,880,882
1936,1043,1041,11,1044,2212,1052,1,705,99,718,35,1054,725,726,2,733,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,812,815,6,0,823,99,830,99,99,834,99,846,99,0,851,99,863,865,867,869,871,0,0,877,879,881,883
1937,1043,1041,12,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,794,99,2251,99,813,814,99,99,818,99,830,99,99,834,99,846,99,0,851,99,863,865,866,869,871,0,0,877,879,880,883
1938,1043,1041,13,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,812,814,99,99,818,99,830,99,99,834,99,846,99,0,851,99,863,865,866,869,871,0,0,877,879,881,883
1939,1043,1041,14,1044,2212,1052,0,701,99,718,36,1054,725,726,0,729,99,745,48,747,750,751,0,754,99,770,53,772,775,776,0,779,99,795,0,797,99,812,815,7,0,819,99,830,99,99,834,99,846,99,0,851,99,863,865,867,869,871,0,0,877,879,881,883
1940,1043,1041,15,1044,2212,1052,0,705,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,801,99,812,814,99,99,818,99,830,99,99,834,99,846,99,0,851,99,863,865,866,869,871,0,0,877,879,881,883
1941,1043,1041,16,1044,2212,1052,0,701,99,718,37,1054,725,726,0,730,99,745,49,747,750,751,0,754,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,813,815,8,0,819,99,831,15,0,835,99,846,99,10,853,99,863,865,867,869,871,0,0,877,879,881,883
1943,1043,1041,17,1044,2212,1052,1,703,99,718,38,1054,725,726,2,731,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,812,815,9,3,819,99,831,16,3,837,99,846,99,0,851,99,863,865,867,869,871,1,0,877,879,881,883
1945,1043,1041,18,1044,2212,1052,0,701,99,718,39,1054,725,726,0,729,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,794,99,2251,99,813,814,99,99,818,99,830,99,99,834,99,846,99,0,851,99,862,864,866,869,871,0,0,877,879,881,882
1914,1043,715,99,2206,2215,2183,99,2186,99,718,13,1054,725,726,2,736,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,1,799,99,812,815,14,3,819,99,830,99,99,834,99,846,99,99,850,99,863,865,867,870,872,1,0,877,879,880,883
1002,1042,715,99,2206,2215,2183,99,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,794,99,2251,99,813,814,99,99,818,99,830,99,99,834,99,847,2,99,850,99,862,864,2371,869,1548,0,0,876,878,880,882
1747,1043,1041,1,1044,2212,1052,5,702,99,718,3,1054,725,726,1,733,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,797,99,812,815,1,0,819,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,2,0,877,879,880,883
1748,1043,1041,4,1044,2212,1052,1,702,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,1,797,99,812,814,99,5,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,877,878,880,883
1761,1043,1041,15,1044,2212,1052,2,702,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,794,99,2251,99,813,814,99,9,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,876,878,880,883
1753,1043,1041,19,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,2251,99,812,814,99,8,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,877,878,880,883
1755,1043,1041,6,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,2251,99,812,814,99,6,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,2,0,877,878,880,883
1749,1043,1041,16,1044,2212,1052,0,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,2251,99,812,814,99,6,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,877,879,881,883
1750,1043,1041,17,1044,2212,1052,0,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,2251,99,812,814,99,6,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,877,879,881,883
1751,1043,1041,18,1044,2212,1052,0,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,2251,99,812,814,99,8,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,877,879,881,883
1756,1043,1041,7,1044,2212,1052,0,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,794,99,2251,99,813,814,99,8,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,877,878,880,883
1754,1043,1041,5,1044,2212,1052,0,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,2251,99,812,814,99,4,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,877,878,880,883
1757,1043,1041,8,1044,2212,1052,0,2186,99,718,9,1054,725,726,0,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,2251,99,812,814,99,6,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,877,879,881,883
1758,1043,1041,10,1044,2212,1052,0,702,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,2251,99,813,814,99,3,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,877,879,881,883
1759,1043,1041,11,1044,2212,1052,0,702,99,718,12,1054,725,726,0,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,2251,99,813,814,99,2,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,877,879,881,883
1760,1043,1041,13,1044,2212,1052,0,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,2251,99,812,815,2,0,819,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,1,0,877,879,881,883
1752,1043,1041,20,1044,2212,1052,0,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,0,2246,99,795,0,2251,99,812,814,99,3,821,99,830,99,0,834,99,846,99,99,850,99,863,865,867,869,1548,3,0,877,879,881,883
1697,1043,1041,1,1044,2212,1052,0,701,99,718,9,1054,725,726,0,729,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,813,814,99,99,818,99,830,99,99,834,99,846,99,99,850,99,863,864,866,869,871,2,0,877,878,880,882
1698,1043,1041,2,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,794,99,2251,99,813,814,99,99,818,99,830,99,99,834,99,846,99,99,850,99,862,865,867,869,871,1,0,877,878,880,883
1699,1043,1041,3,1044,2212,1052,0,701,99,718,10,1054,725,726,0,729,99,745,14,747,750,751,0,754,99,769,99,2236,2239,2243,99,2246,99,795,0,801,99,813,815,1,0,819,99,830,99,99,834,99,846,99,99,850,99,863,865,867,869,871,1,0,877,879,880,883
1700,1043,715,99,2206,2215,2183,99,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,813,814,99,99,818,99,830,99,99,834,99,846,99,99,850,99,863,865,867,869,871,1,0,877,878,880,883
1701,1043,1041,4,1044,2212,1052,0,701,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,813,814,99,99,818,99,830,99,99,834,99,846,99,99,850,99,863,865,867,869,871,1,0,877,878,880,883
2240,1043,715,99,2206,2215,2183,99,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,813,814,99,99,818,99,830,99,99,834,99,846,99,99,850,99,863,865,866,870,871,1,88,877,879,881,883
2241,1043,715,99,2206,2215,2183,99,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,813,814,99,99,818,99,830,99,99,834,99,846,99,99,850,99,863,865,866,870,871,1,88,877,879,881,883
2263,1042,715,99,2206,2215,2183,99,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,812,814,99,99,818,99,830,99,99,834,99,846,99,99,850,99,863,864,2371,870,871,1,88,877,879,881,883
2264,1043,715,99,2206,2215,2183,99,2186,99,717,99,2191,2194,2197,99,2200,99,744,99,2221,2224,2227,99,2229,99,769,99,2236,2239,2243,99,2246,99,795,0,797,99,813,814,99,99,818,99,830,99,99,834,99,846,99,99,850,99,863,865,866,870,871,1,88,877,879,881,883
