ID,Updated on (date),Region,State,Name of Initiative,Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
45,Oct-17,South,Tamil Nadu,Mrs M Leelavathy,Individual Fellow,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
44,Oct-17,South,Tamil Nadu,Human Rights Education and Protection Council (KALAM),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
43,Oct-17,South,Karnataka,Margadarshi,Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
42,Oct-17,South,Karnataka,Mahila Abhivrudhi Mattu Samrakshana Samasthe (MASS),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
41,Oct-17,South,Andhra Pradesh,Helping Hands Association (HHA),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
40,Oct-17,South,Andhra Pradesh,Compassionate Rural Association for Social Action (CRASA),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
39,Oct-17,North,Uttar Pradesh,Rural Organisation for Social Advancement (ROSA),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
38,Oct-17,North,Uttar Pradesh,Doaba Vikas Evam Utthan Samiti (DVEUS),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
37,Oct-17,North,Rajasthan,Prayatn Sansthan,Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
36,Oct-17,North,Madhya Pradesh,Samvedna,Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
35,Oct-17,North,Delhi,SAKSHAM,Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
34,Oct-17,North,Delhi,Matri Sudha,Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
33,Oct-17,North,Delhi,Action for Health Education & Social Awareness (AHESAS),Implementing,Jan-17 - Dec-17,No Grant,N/A,N/A,Jan-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
