1194817,1948,2,12,"19,20,21,22,35,36",CRY - 37,Anganawadi-Bhoyel-194817,,56
1194818,1948,2,11,19,CRY - 37,Anganawadi-Bhoyel-194818,108,57
1194919,1949,2,12,"19,20,21,22,35,36",CRY - 37,Anganawadi-Guadi-194919,,58
1195225,1952,2,11,"19,20,21,22,35,36",CRY - 37,Anganawadi-Kothra -195225,,59
1195423,1954,2,12,"20,21,22,35,36",CRY - 37,Anganawadi-Chaurakhadi-195423,"110,111",60
1195424,1954,2,11,"19,20,21,22,35,36",CRY - 37,Anganawadi-Chaurakhadi-195424,,61
1195127,1951,2,12,"19,20,21,22,35,36",CRY - 37,Anganawadi-Bilkheda Dang-195127,,62
1195322,1953,2,12,"20,21,22,35,36",CRY - 37,Anganawadi-Harinagar -195322,"110,111",63
1174701,1747,2,12,"19,20,21,22,35",CRY - 81,Anganawadi-Jakhnaud-174701,,64
1175410,1754,2,11,"19,20,21,22,35,36",CRY - 81,Anganawadi-Batkakhedi-175410,,65
1175712,1757,2,12,"19,20,21,22,35,36",CRY - 81,Anganawadi-Nonhetakhurd-175712,,66
1175511,1755,2,11,"19,20,21,22,35,36",CRY - 81,Anganawadi-Patwai-175511,,67
1175914,1759,2,12,"19,20,21,22,35,36",CRY - 81,Anganawadi-Rampura-175914,,68
1175309,1753,2,11,"19,20,21,22,35,36",CRY - 81,Anganawadi-Jatwara-175309,,69
1174904,1749,2,12,"19,20,21,22,35,36",CRY - 81,Anganawadi-Sonipura-174904,,70
1175005,1750,2,11,"19,20,21,22,35,36",CRY - 81,Anganawadi-Madhopura-175005,,71
1171701,1717,2,12,"19,20,21,22,35,36",CRY - 12,Anganawadi-Dhakhra-171701,,72
1171802,1718,2,12,"19,20,21,22,35,36",CRY - 12,Anganawadi-Kuthila-171802,,73
1171903,1719,2,12,"19,20,21,22,35,36",CRY - 12,Anganawadi-Karon-171903,,74
1172004,1720,2,12,"19,20,21,22,35,36",CRY - 12,Anganawadi-Gadehara-172004,,75
1172105,1721,2,12,"19,20,21,22,35,36",CRY - 12,Anganawadi-Sangi-172105,,76
1172206,1722,2,12,"19,20,21,22,35,36",CRY - 12,Anganawadi-Barauli-172206,,77
1172307,1723,2,12,"19,20,21,22,35,36",CRY - 12,Anganawadi-Kachigawan-172307,,78
1172408,1724,2,12,"19,20,21,22,35,36",CRY - 12,Anganawadi-Atraila-172408,,79
1172509,1725,2,12,"19,20,21,22,35,36",CRY - 12,Anganawadi-veerpur-172509,,80
1172610,1726,2,12,"19,20,21,22,35,36",CRY - 12,Anganawadi-Karma444-172610,,81
1172711,1727,2,12,"19,20,21,22,35",CRY - 12,Anganawadi-Gadha 137 Akhra tola-172711,,82
1172812,1728,2,12,"19,20,21,22,35",CRY - 12,Anganawadi-Dadar tola-172812,,83
1172913,1729,2,12,"19,20,21,22,35",CRY - 12,Anganawadi-Mojra-172913,,84
1173114,1731,2,12,"19,20,21,22,35",CRY - 12,Anganawadi-Bhothi-173114,,85
1173215,1732,2,12,"19,20,21,22,35",CRY - 12,Anganawadi-Ghusroom-173215,,86
1173316,1733,2,12,"19,20,21,22,35",CRY - 12,Anganawadi-Ghusroom Kohran Tola-173316,,87
1173417,1734,2,12,"19,20,21,22,35,36",CRY - 12,Anganawadi-Darha-173417,,88
1169701,1697,2,12,"19,20,21,22,35,36",CRY - 64,Anganawadi-Ramnagar Khokhla-169701,,89
1169902,1699,2,12,"19,20,21,22,35,36",CRY - 64,Anganawadi- Jhari coloney-169902,,90
1170003,1700,2,12,"19,20,21,22,35,36",CRY - 64,Anganawadi-Kirhai Pokhri-170003,,91
1170104,1701,2,12,"19,20,21,22,35,36",CRY - 64,Anganawadi-Pado-170104,,92
1170205,1702,2,11,"19,20,21,22,35,36",CRY - 64,Anganawadi-Gahiragadighat-170205,,93
1170306,1703,2,12,"20,21,22,35,36",CRY - 64,Anganawadi-Pindra Kolan-170306,"110,111",94
1170407,1704,2,12,"19,20,21,22,35,36",CRY - 64,Anganawadi-Barhamawan-170407,,95
